metro,city_gu,dong_ri_eup_myeon,base_date,year,priority_protected,converted_deposit,top_priority_amount
경기도,성남시,,2018-01-26,2018,500000000,55000000,19000000
경기도,수원시,,2018-01-26,2018,500000000,55000000,19000000
경기도,시흥시,,2018-01-26,2018,500000000,55000000,19000000
경기도,안양시,,2018-01-26,2018,500000000,55000000,19000000
경기도,의왕시,,2018-01-26,2018,500000000,55000000,19000000
경기도,의정부시,,2018-01-26,2018,500000000,55000000,19000000
경기도,하남시,,2018-01-26,2018,500000000,55000000,19000000
경기도,고양시 덕양구,,2019-04-02,2019,690000000,55000000,19000000
경기도,고양시 일산동구,,2019-04-02,2019,690000000,55000000,19000000
경기도,고양시 일산서구,,2019-04-02,2019,690000000,55000000,19000000
경기도,과천시,,2019-04-02,2019,690000000,55000000,19000000
경기도,광명시,,2019-04-02,2019,690000000,55000000,19000000
경기도,구리시,,2019-04-02,2019,690000000,55000000,19000000
경기도,군포시,,2019-04-02,2019,690000000,55000000,19000000
경기도,부천시,,2019-04-02,2019,690000000,55000000,19000000
경기도,성남시,,2019-04-02,2019,690000000,55000000,19000000
경기도,수원시,,2019-04-02,2019,690000000,55000000,19000000
경기도,시흥시,,2019-04-02,2019,690000000,55000000,19000000
경기도,안양시,,2019-04-02,2019,690000000,55000000,19000000
경기도,의왕시,,2019-04-02,2019,690000000,55000000,19000000
경기도,의정부시,,2019-04-02,2019,690000000,55000000,19000000
경기도,하남시,,2019-04-02,2019,690000000,55000000,19000000
경기도,김포시,,2002-11-01,2002,140000000,25000000,7500000
경기도,광주시,,2002-11-01,2002,140000000,25000000,7500000
경기도,안산시 단원구,,2002-11-01,2002,140000000,25000000,7500000
경기도,안산시 상록구,,2002-11-01,2002,140000000,25000000,7500000
경기도,용인시 처인구,,2002-11-01,2002,140000000,25000000,7500000
경기도,용인시 수지구,,2002-11-01,2002,140000000,25000000,7500000
경기도,용인시 기흥구,,2002-11-01,2002,140000000,25000000,7500000
경기도,김포시,,2008-08-21,2008,150000000,25000000,7500000
경기도,광주시,,2008-08-21,2008,150000000,25000000,7500000
경기도,안산시 단원구,,2008-08-21,2008,150000000,25000000,7500000
경기도,안산시 상록구,,2008-08-21,2008,150000000,25000000,7500000
경기도,용인시 처인구,,2008-08-21,2008,150000000,25000000,7500000
경기도,용인시 수지구,,2008-08-21,2008,150000000,25000000,7500000
경기도,용인시 기흥구,,2008-08-21,2008,150000000,25000000,7500000
경기도,김포시,,2010-07-26,2010,180000000,30000000,9000000
경기도,광주시,,2010-07-26,2010,180000000,30000000,9000000
경기도,안산시 단원구,,2010-07-26,2010,180000000,30000000,9000000
경기도,안산시 상록구,,2010-07-26,2010,180000000,30000000,9000000
경기도,용인시 처인구,,2010-07-26,2010,180000000,30000000,9000000
경기도,용인시 수지구,,2010-07-26,2010,180000000,30000000,9000000
경기도,용인시 기흥구,,2010-07-26,2010,180000000,30000000,9000000
경기도,김포시,,2014-01-01,2014,240000000,38000000,13000000
경기도,광주시,,2014-01-01,2014,240000000,38000000,13000000
경기도,안산시 단원구,,2014-01-01,2014,240000000,38000000,13000000
경기도,안산시 상록구,,2014-01-01,2014,240000000,38000000,13000000
경기도,용인시 처인구,,2014-01-01,2014,240000000,38000000,13000000
경기도,용인시 수지구,,2014-01-01,2014,240000000,38000000,13000000
경기도,용인시 기흥구,,2014-01-01,2014,240000000,38000000,13000000
경기도,김포시,,2018-01-26,2018,390000000,38000000,13000000
경기도,광주시,,2018-01-26,2018,390000000,38000000,13000000
경기도,안산시 단원구,,2018-01-26,2018,390000000,38000000,13000000
