metro,city_gu,dong_ri_eup_myeon,start_date,end_date,limit_deposit,small_amount
서울특별시,강북구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,도봉구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,노원구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,은평구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,서대문구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,마포구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,양천구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,강서구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,구로구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,금천구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,영등포구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,동작구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,관악구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,서초구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,강남구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,송파구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,강동구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,종로구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,중구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,용산구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,성동구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,광진구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,동대문구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,중랑구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,성북구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,강북구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,도봉구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,노원구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,은평구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,서대문구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,마포구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,양천구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,강서구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,구로구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,금천구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,영등포구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,동작구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,관악구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,서초구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,강남구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,송파구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,강동구,,2016-03-31,2018-09-17,100000000,34000000
서울특별시,종로구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,중구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,용산구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,성동구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,광진구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,동대문구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,중랑구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,성북구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,강북구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,도봉구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,노원구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,은평구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,서대문구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,마포구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,양천구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,강서구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,구로구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,금천구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,영등포구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,동작구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,관악구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,서초구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,강남구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,송파구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,강동구,,2018-09-18,2021-05-10,110000000,37000000
서울특별시,종로구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,중구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,용산구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,성동구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,광진구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,동대문구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,중랑구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,성북구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,강북구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,도봉구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,노원구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,은평구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,서대문구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,마포구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,양천구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,강서구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,구로구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,금천구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,영등포구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,동작구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,관악구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,서초구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,강남구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,송파구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,강동구,,2021-05-11,2023-02-20,150000000,50000000
서울특별시,종로구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,중구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,용산구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,성동구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,광진구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,동대문구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,중랑구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,성북구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,강북구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,도봉구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,노원구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,은평구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,서대문구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,마포구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,양천구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,강서구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,구로구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,금천구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,영등포구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,동작구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,관악구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,서초구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,강남구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,송파구,,2023-02-21,2026-12-31,165000000,55000000
서울특별시,강동구,,2023-02-21,2026-12-31,165000000,55000000
인천광역시,계양구,,2001-09-15,2008-08-20,40000000,16000000
인천광역시,미추홀구,,2001-09-15,2008-08-20,40000000,16000000
인천광역시,부평구,,2001-09-15,2008-08-20,40000000,16000000
인천광역시,남동구,,2001-09-15,2008-08-20,40000000,16000000
인천광역시,동구,,2001-09-15,2008-08-20,40000000,16000000
인천광역시,계양구,,2008-08-21,2010-07-25,60000000,20000000
인천광역시,미추홀구,,2008-08-21,2010-07-25,60000000,20000000
인천광역시,부평구,,2008-08-21,2010-07-25,60000000,20000000
